PLAYER_NAME,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POS,fg_shrunk,ft_shrunk,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_FG3M,z_FG%,z_FT%,z_TOV,fantasy_z_9cat,Rk,TEAM_ABBREVIATION ,3PA,3P%,2P,2PA,2P%,eFG%
AJ Green,1631260,2022-23,0,1610612749,MIL,23,35,1,9.857142857,1.514285714,3.571428571,0.424,1.257142857,3,0.419,0.114285714,0.114285714,1,0.171428571,1.114285714,1.285714286,0.628571429,0.171428571,0,0.257142857,0.885714286,4.4,Guard,0.458627167,0.74902744,-0.818927126,-1.069820609,-0.845515011,-1.303057313,-1.057452438,0.173279754,-0.333915993,-0.089049296,1.096994376,-4.247463656,,,,,,,,
AJ Green,1631260,2023-24,0,1610612749,MIL,24,56,0,10.96428571,1.482142857,3.5,0.423,1.232142857,3.017857143,0.408,0.303571429,0.339285714,0.895,0.160714286,0.982142857,1.142857143,0.535714286,0.160714286,0.071428571,0.214285714,0.875,4.5,Guard,0.458617248,0.749441507,-0.803845472,-1.128697081,-0.894272675,-1.330595493,-0.883124013,0.145686429,-0.335953818,0.000382532,1.148593041,-4.081826549,,,,,,,,
AJ Green,1631260,2024-25,0,1610612749,MIL,25,73,7,22.7260274,2.493150685,5.808219178,0.429,2.123287671,4.97260274,0.427,0.301369863,0.369863014,0.815,0.246575342,2.136986301,2.383561644,1.479452055,0.506849315,0.095890411,0.547945205,2.150684932,7.410958904,Guard,0.458169617,0.748942434,-0.364824725,-0.617358961,-0.398732453,-0.440948735,-0.823422496,1.129272373,-0.427916885,-0.107409358,0.746877409,-1.304463831,,,,,,,,
Aaron Gordon,203932,2020-21,0,0,TOT,25,50,50,27.68,4.62,9.98,0.463,1.18,3.52,0.335,1.94,2.98,0.651,1.54,4.14,5.68,3.22,0.66,0.68,1.94,1.78,12.36,Forward,0.460148438,0.742972243,0.381572524,0.741219642,0.515198878,-0.047316195,0.602154179,0.088134637,-0.021380629,-1.396875444,-0.929113197,-0.066405605,,,,,,,,
Aaron Gordon,203932,2021-22,0,1610612743,DEN,26,75,75,31.66666667,5.786666667,11.12,0.52,1.16,3.466666667,0.335,2.28,3.066666667,0.743,1.666666667,4.186666667,5.853333333,2.506666667,0.586666667,0.586666667,1.773333333,1.973333333,15.01333333,Forward,0.465881796,0.74813862,0.781739073,0.812656427,0.140640002,-0.235799754,0.374365036,0.066059977,1.156501468,-0.281020315,-0.728451722,2.086690193,,,,,,,,
Aaron Gordon,203932,2022-23,0,1610612743,DEN,27,68,68,30.22058824,6.308823529,11.19117647,0.564,0.882352941,2.544117647,0.347,2.808823529,4.617647059,0.608,2.411764706,4.147058824,6.558823529,2.985294118,0.794117647,0.75,1.441176471,1.897058824,16.30882353,Forward,0.470344953,0.736579128,0.977120421,1.103413839,0.391958918,0.297397053,0.772996037,-0.240388246,2.07342881,-2.777686435,-0.328545208,2.26969519,,,,,,,,
Aaron Gordon,203932,2023-24,0,1610612743,DEN,28,73,73,31.46575342,5.452054795,9.808219178,0.556,0.547945205,1.890410959,0.29,2.424657534,3.684931507,0.658,2.383561644,4.068493151,6.452054795,3.547945205,0.767123288,0.616438356,1.438356164,1.945205479,13.87671233,Forward,0.468450863,0.742245044,0.610317828,1.059410675,0.687397179,0.228015332,0.44702576,-0.609485101,1.684299975,-1.553938775,-0.325149647,2.227893226,,,,,,,,
Aaron Gordon,203932,2024-25,0,1610612743,DEN,29,51,42,28.37254902,5.176470588,9.745098039,0.531,1.470588235,3.37254902,0.436,2.843137255,3.509803922,0.81,1.568627451,3.274509804,4.843137255,3.215686275,0.450980392,0.274509804,1.431372549,1.607843137,14.66666667,Forward,0.466180569,0.752490715,0.729456007,0.396318965,0.512933817,-0.584544736,-0.387484369,0.408866463,1.21788245,0.65896287,-0.316741592,2.635649877,,,,,,,,
Aaron Holiday,1628988,2020-21,0,1610612754,IND,24,66,8,17.81818182,2.575757576,6.606060606,0.39,1.015151515,2.757575758,0.368,1.03030303,1.257575758,0.819,0.227272727,1.121212121,1.348484848,1.863636364,0.696969697,0.196969697,1,1.424242424,7.196969697,Guard,0.455534597,0.7501846,-0.397097837,-1.043950645,-0.197003981,0.047704443,-0.576728596,-0.093814077,-0.969265006,0.160878831,0.202617519,-2.86665935,,,,,,,,
Aaron Holiday,1628988,2021-22,0,0,TOT,25,63,15,16.20634921,2.396825397,5.365079365,0.447,0.619047619,1.634920635,0.379,0.936507937,1.079365079,0.868,0.380952381,1.555555556,1.936507937,2.428571429,0.666666667,0.142857143,1.063492063,1.46031746,6.349206349,Guard,0.459208838,0.750979936,-0.524954571,-0.801605574,0.099633556,-0.030181325,-0.708795585,-0.53100702,-0.214415439,0.332658702,0.126175053,-2.252492203,,,,,,,,
