PLAYER_NAME,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POS,FG%,FT%,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_3PM,z_FG%,z_FT%,z_TOV,fantasy_z_9cat,Total_PTS,PTS_roll2,PTS_delta,REB_roll2,REB_delta,AST_roll2,AST_delta,STL_roll2,STL_delta,BLK_roll2,BLK_delta,FG3M_roll2,FG3M_delta,FG%_roll2,FG%_delta,FT%_roll2,FT%_delta,TOV_roll2,TOV_delta,GP_roll2,GP_delta,MIN_roll2,MIN_delta,next_fantasy_z_9cat,delta_fantasy,AGE_sq,PTS_per36,REB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,sample_weight_norm,AGE_squared,target_delta
AJ Green,1631260,2022-23,0,1610612749,MIL,23,35,1,9.857142857,1.514285714,3.571428571,1.257142857,3.0,0.419,0.114285714,0.114285714,0.171428571,1.114285714,1.285714286,0.628571429,0.171428571,0.0,0.257142857,0.885714286,4.4,Guard,0.46700047,0.753729745,-0.974593545,-1.206272993,-0.936423209,-1.480954162,-1.148452568,0.052991124,-0.32136154,-0.094578825,1.211617789,-4.898027929,154.0,,,,,,,,,,,,,,,,,,,,,,,-4.735907144,0.16212078500000082,529,16.0695652176242,4.695652175024574,2.295652175511531,0.6260869549655955,0.0,0.9391304342744802,0.6816645323756292,529,0.16212078500000082
AJ Green,1631260,2023-24,0,1610612749,MIL,24,56,0,10.96428571,1.482142857,3.5,1.232142857,3.017857143,0.408,0.303571429,0.339285714,0.160714286,0.982142857,1.142857143,0.535714286,0.160714286,0.071428571,0.214285714,0.875,4.5,Guard,0.46699633,0.754122794,-0.959536971,-1.265504375,-0.983651332,-1.509302906,-0.971005055,0.026030901,-0.322199927,-0.01339986,1.262662382,-4.735907144,252.0,4.4,0.09999999999999964,1.285714286,-0.14285714299999985,0.628571429,-0.09285714299999992,0.171428571,-0.01071428499999999,0.0,0.071428571,1.257142857,-0.025000000000000133,0.46700047,-4.139999999985822e-06,0.753729745,0.0003930490000000342,0.257142857,-0.042857143000000014,35.0,21.0,9.857142857,1.107142853000001,-1.994297722,2.741609422,576,14.775244305449606,3.7524429986784797,1.758957656348778,0.527687297561311,0.23452768598092286,0.7035830612261562,0.8352180835999405,576,2.741609422
Aaron Gordon,203932,2020-21,0,0,TOT,25,50,50,27.68,4.62,9.98,1.18,3.52,0.335,1.94,2.98,1.54,4.14,5.68,3.22,0.66,0.68,1.94,1.78,12.36,Forward,0.468033826,0.747420198,0.223909733,0.615684306,0.381604721,-0.188251438,0.540847751,-0.030200421,-0.112121192,-1.397730524,-0.792733201,-0.758990264,618.0,,,,,,,,,,,,,,,,,,,,,,,1.310702989,2.069693253,625,16.07514450867052,7.387283236994219,4.187861271676301,0.8583815028901735,0.8843930635838151,2.523121387283237,0.7948272134792702,625,2.069693253
Aaron Gordon,203932,2021-22,0,1610612743,DEN,26,75,75,31.66666667,5.786666667,11.12,1.16,3.466666667,0.335,2.28,3.066666667,1.666666667,4.186666667,5.853333333,2.506666667,0.586666667,0.586666667,1.773333333,1.973333333,15.01333333,Forward,0.473686286,0.752579311,0.623410825,0.687551716,0.018795857,-0.382282841,0.308983002,-0.0517686,1.032425,-0.332185518,-0.594226453,1.310702989,1125.99999975,12.36,2.6533333300000006,5.68,0.17333333300000042,3.22,-0.713333333,0.66,-0.073333333,0.68,-0.09333333300000002,1.18,-0.020000000000000018,0.468033826,0.005652460000000026,0.747420198,0.0051591129999999374,1.94,-0.16666666699999988,50.0,25.0,27.68,3.9866666700000017,1.581769277,0.2710662880000001,676,17.067789468098127,6.654315788394283,2.8496842106052966,0.666947368729795,0.666947368729795,2.0159999994088422,0.9505314888706877,676,0.2710662880000001
Aaron Gordon,203932,2022-23,0,1610612743,DEN,27,68,68,30.22058824,6.308823529,11.19117647,0.882352941,2.544117647,0.347,2.808823529,4.617647059,2.411764706,4.147058824,6.558823529,2.985294118,0.794117647,0.75,1.441176471,1.897058824,16.30882353,Forward,0.478144448,0.740893716,0.818467263,0.980061829,0.262230832,0.166608134,0.714746314,-0.351185663,1.935141868,-2.745687117,-0.198614182,1.581769277,1109.00000004,13.686666665,1.2954902000000015,5.7666666665,0.7054901959999995,2.8633333335,0.4786274509999999,0.6233333335,0.20745097999999995,0.6333333335,0.16333333299999997,1.17,-0.277647059,0.470860056,0.004458161999999988,0.7499997545,-0.011685594999999993,1.8566666665,-0.33215686200000016,62.5,-7.0,29.673333335000002,-1.44607843,1.519046139,-0.06272313799999996,729,19.42773722395286,7.813138684424231,3.556204379428718,0.9459854012424742,0.8934306567951835,1.7167883213910595,0.9099646685596845,729,-0.06272313799999996
Aaron Gordon,203932,2023-24,0,1610612743,DEN,28,73,73,31.46575342,5.452054795,9.808219178,0.547945205,1.890410959,0.29,2.424657534,3.684931507,2.383561644,4.068493151,6.452054795,3.547945205,0.767123288,0.616438356,1.438356164,1.945205479,13.87671233,Forward,0.476348587,0.746634593,0.452274644,0.935793412,0.548401115,0.095184223,0.382943773,-0.711813947,1.571504482,-1.55998648,-0.195255083,1.519046139,1013.00000009,15.66107843,-2.4321112000000014,6.206078431,-0.10676873400000009,2.7459803925,0.5626510869999999,0.690392157,-0.026994359000000023,0.6683333335,-0.13356164400000003,1.0211764705,-0.33440773599999996,0.47591536700000003,-0.0017958610000000097,0.7467365134999999,0.005740877000000033,1.607254902,-0.002820306999999911,71.5,5.0,30.943627455,1.2451651799999972,1.779581065,0.26053492599999983,784,15.876360473939037,7.381802352533658,4.059207662220344,0.8776665220559019,0.7052677404474492,1.645624727710715,0.939141591786232,784,0.26053492599999983
Aaron Holiday,1628988,2020-21,0,1610612754,IND,24,66,8,17.81818182,2.575757576,6.606060606,1.015151515,2.757575758,0.368,1.03030303,1.257575758,0.227272727,1.121212121,1.348484848,1.863636364,0.696969697,0.196969697,1.0,1.424242424,7.196969697,Guard,0.463669547,0.754782021,-0.553465737,-1.180247083,-0.308256144,-0.090433953,-0.659127609,-0.207974497,-0.995828172,0.122754567,0.326844856,-3.545733773,475.000000002,,,,,,,,,,,,,,,,,,,,,,,-2.928668577,0.617065196,576,14.540816325108082,2.7244897946607662,3.7653061227994584,1.4081632652236566,0.3979591836940858,2.020408163059142,0.8979944952462691,576,0.617065196
Aaron Holiday,1628988,2021-22,0,0,TOT,25,63,15,16.20634921,2.396825397,5.365079365,0.619047619,1.634920635,0.379,0.936507937,1.079365079,0.380952381,1.555555556,1.936507937,2.428571429,0.666666667,0.142857143,1.063492063,1.46031746,6.349206349,Guard,0.467439601,0.755593397,-0.681109852,-0.936441143,-0.020924206,-0.170612219,-0.793557543,-0.635136471,-0.232443648,0.290333266,0.251223238,-2.928668577,399.999999987,7.196969697,-0.847763348,1.348484848,0.588023089,1.863636364,0.5649350649999998,0.696969697,-0.03030303000000001,0.196969697,-0.05411255400000001,1.015151515,-0.39610389599999984,0.463669547,0.003770053999999967,0.754782021,0.0008113760000000303,1.0,0.06349206299999999,66.0,-3.0,17.81818182,-1.6118326100000004,-4.119632535,-1.1909639580000002,625,14.103819780889445,4.301665034404131,5.394711067317547,1.4809010777819713,0.3173359453976618,2.362389812282714,0.879693845325672,625,-1.1909639580000002
Aaron Holiday,1628988,2022-23,0,1610612737,ATL,26,63,6,13.41269841,1.46031746,3.492063492,0.571428571,1.396825397,0.409,0.428571429,0.507936508,0.396825397,0.777777778,1.174603175,1.412698413,0.587301587,0.19047619,0.571428571,1.253968254,3.920634921,Guard,0.466830992,0.754080311,-1.046769502,-1.252341846,-0.537607946,-0.380602915,-0.675259201,-0.686489276,-0.355678557,-0.02217407,0.837290779,-4.119632535,247.000000023,6.773088023,-2.428571428,1.6424963925,-0.7619047619999999,2.1461038964999997,-1.0158730159999998,0.681818182,-0.07936507999999998,0.16991341999999998,0.047619047,0.817099567,-0.04761904800000005,0.465554574,-0.0006086089999999822,0.7551877090000001,-0.0015130860000001078,1.0317460315,-0.492063492,64.5,0.0,17.012265515,-2.793650799999998,-2.8753748,1.2442577350000001,676,10.523076926173871,3.1526627235928437,3.791715977903659,1.5763313604544098,0.5112426023750428,1.533727809809152,0.879693845325672,676,1.2442577350000001
Aaron Holiday,1628988,2023-24,0,1610612745,HOU,27,78,1,16.26923077,2.384615385,5.346153846,1.076923077,2.782051282,0.387,0.743589744,0.807692308,0.294871795,1.282051282,1.576923077,1.794871795,0.538461538,0.076923077,0.679487179,1.602564103,6.58974359,Guard,0.467392524,0.755834893,-0.644893185,-1.0855321,-0.34323053,-0.509827959,-0.957355247,-0.141359494,-0.241975988,0.3402111,0.708588602,-2.8753748,514.00000002,5.134920635,2.6691086690000003,1.555555556,0.4023199019999999,1.920634921,0.38217338199999995,0.6269841270000001,-0.04884004900000005,0.1666666665,-0.11355311299999998,0.595238095,0.505494506,0.46713529649999996,0.0005615319999999757,0.754836854,0.0017545820000000045,0.817460317,0.108058608,63.0,15.0,14.80952381,2.856532359999999,-3.960426024,-1.0850512240000003,729,14.581560283565883,3.489361702132891,3.971631205769663,1.1914893606245158,0.17021276611961172,1.5035460981416762,0.9673352756246587,729,-1.0850512240000003
